NM_CANDIDATO,Partido,NM_UE,Estado,total
RONAN ROSA BATISTA,PRD,NIQUELÂNDIA,GO,0.0
RONAN JOSE PORTILHO,AVANTE,SENHORA DO PORTO,MG,0.0
BERNARDO PERON,UNIÃO,MIRIM DOCE,SC,0.0
RONALDO COELHO SANTOS,MDB,GAÚCHA DO NORTE,MT,0.0
BACHIR ABBAS,PP,UNIÃO DA VITÓRIA,PR,0.0
RONALDO CESAR LAGES CASTELO BRANCO,PT,NOSSA SENHORA DOS REMÉDIOS,PI,0.0
ROMUALDO NETO RUFINO DE SOUZA,UNIÃO,BRASILÂNDIA DO TOCANTINS,TO,0.0
ROMUALDO JOSÉ WENDEROSCKY,PSB,TRAJANO DE MORAES,RJ,0.0
ROMUALDO FEITOSA SILVA,REPUBLICANOS,BONFIM,RR,0.0
BRAZ REIS HOFFMANN,PP,ANDRÉ DA ROCHA,RS,0.0
ROMILSON PEREIRA DA SILVA,PSB,TRABIJU,SP,0.0
ROMILSON DE SOUZA VIEIRA,MOBILIZA,PINTÓPOLIS,MG,0.0
BRAZ RODRIGUES,PL,RINCÃO,SP,0.0
ROMILDO JOAQUIM SOUZA,CIDADANIA,ARARUNA,PR,0.0
BRENO DE OLIVEIRA DUTRA BAETA,UNIÃO,CRISTIANO OTONI,MG,0.0
ROMILDO ELIAS CALHEIROS JUNIOR,PL,RIO LARGO,AL,0.0
ROMILDO DAMASCENO SOARES,PSB,TUTÓIA,MA,0.0
BRENO JOSE DE SOUZA JUNQUEIRA,PRD,SAPUCAIA,RJ,0.0
BRENO JOSÉ DE ARAUJO COSTA,PRD,CONCEIÇÃO DO MATO DENTRO,MG,0.0
ROMIL IAKOV KALUGIN,REPUBLICANOS,CAMPOS LINDOS,TO,0.0
BRUNNO LEONARDO VEIGA LOPES,PL,UNIÃO DOS PALMARES,AL,0.0
BRUNO BASTOS LESSA,PODE,NITERÓI,RJ,0.0
BRUNO BELLUCCI,PSOL,PIRAJU,SP,0.0
BRUNO CESAR SILVA FERNANDES,PSD,ROSANA,SP,0.0
ROMERO PACHECO DOS SANTOS,NOVO,LADÁRIO,MS,0.0
BRAULIO MAGALHÃES CARVALHO,PDT,FERROS,MG,0.0
ROMULO CESAR FEITOSA SOUSA,PSB,PARAMBU,CE,0.0
ROMULO CESAR MOURA PEIXOTO,MDB,PRIMAVERA,PE,0.0
BERTOLINO BACHMANN,MDB,LUIZ ALVES,SC,0.0
BERNARDO QUATRIN DALLA CORTE,PSDB,JÚLIO DE CASTILHOS,RS,0.0
RONALDO ANTÔNIO ZICA DA COSTA,MDB,DORES DO INDAIÁ,MG,0.0
RONALDO ALVES DE AZEVEDO,PL,SANTA RITA DO NOVO DESTINO,GO,0.0
RONALDO ALEXANDRE SILVA DOS SANTOS,PDT,COQUEIRO SECO,AL,0.0
RONALDO ADRIANO VILAS BOAS,SOLIDARIEDADE,TAPEJARA,PR,0.0
BERNARDO SANTORO PINTO MACHADO,NOVO,PETRÓPOLIS,RJ,0.0
RONALD PEREIRA DUTRA,PSDB,LAGOA DOURADA,MG,0.0
BEROALDO RUFINO DA SILVA,PL,JUNDIÁ,AL,0.0
RONAILDO BANDEIRA DA CRUZ,REPUBLICANOS,RIACHINHO,TO,0.0
BRAHIAN KASTL POPINHAK,UNIÃO,CURITIBANOS,SC,0.0
BESALIEL FREITAS ALBUQUERQUE,PDT,MATA ROMA,MA,0.0
ROMÁRIO BRASIL,PSB,ALEGRE,ES,0.0
ROMÁRIO BATISTA VIEIRA,PODE,IÚNA,ES,0.0
BISMARK FÁBIO FUGAZZA,DC,BARRA VELHA,SC,0.0
ROMULO RONCALLY BEIRIGO,REPUBLICANOS,SÃO SEBASTIÃO DO OESTE,MG,0.0
BLENA LUDYMILLA LOPES DA SILVA,PRD,BANDEIRANTES DO TOCANTINS,TO,0.0
BOBY CHARLES DAS DORES LEÃO,PDT,VIRGINÓPOLIS,MG,0.0
ROMULO GONCALVES DE OLIVEIRA,MDB,GALILÉIA,MG,0.0
RONIVAN FONTOURA BRAGA,PP,AMARAL FERRADOR,RS,0.0
AZARIAS MACHADO NETO,MDB,URUAÇU,GO,0.0
ARNALDO DE OLIVEIRA CHAVES,PP,IGARAPÉ,MG,0.0
AUGUSTO CESAR NASCIMENTO LOUREIRO,PSD,JUPIÁ,SC,0.0
ARTUR DE OLIVEIRA SIQUEIRA,PSD,LASSANCE,MG,0.0
ROSÁRIA BARBOSA LOPES DO NASCIMENTO,PT,CRUZEIRO DO OESTE,PR,0.0
ARTUR MANOEL DE SOUZA,PRTB,BARÃO DE MELGAÇO,MT,0.0
ARTUR SILVA FILHO,PP,BARRA,BA,0.0
ROSIVALDO DA SILVA,PL,ALTO PARANÁ,PR,0.0
ARX AUGUSTO DOS SANTOS,AGIR,ESPLANADA,BA,0.0
ROSIMEIRE BARBOSA SILVERIO,PSD,PLANALTO,SP,0.0
ARY DE OLIVEIRA MATTOS,PP,ORTIGUEIRA,PR,0.0
ROSIMARA ROSA TRINDADE,PT,COLUNA,MG,0.0
ARY DUARTE DA COSTA,UNIÃO,VITÓRIA DO JARI,AP,0.0
ROSILVANDA OLIVEIRA REIS,PSD,MURITIBA,BA,0.0
ASCLEPÍADES DE ALMEIDA QUEIROZ,MDB,UBAITABA,BA,0.0
ATAHYDE FERREIRA DOS SANTOS JUNIOR,PSD,WENCESLAU BRAZ,PR,0.0
NÁDIA BARBOSA DE ALENCAR DOS REIS,PT,SÃO PEDRO DO PIAUÍ,PI,0.0
ATOS TÁCIO SOARES DE OLIVEIRA,AVANTE,CARMÉSIA,MG,0.0
AUCICLEI COSTA RODRIGUES,PSD,SAÚDE,BA,0.0
ROSIANE ROSA SILVA,PT,SERRO,MG,0.0
AUDALIO MARTINS DA SILVA JUNIOR,PP,MANARI,PE,0.0
AUGUSTO ASTORI FERREIRA,PSB,MARILÂNDIA,ES,0.0
ARTHUR VIEIRA CARNEIRO,PP,RIACHO DOS CAVALOS,PB,0.0
ARTHUR TARGINO DALIA,SOLIDARIEDADE,LAGOA D'ANTA,RN,0.0
ARTHUR OLIVEIRA SILVA,PSB,NACIP RAYDAN,MG,0.0
ARNOBIO GOMES DA SILVA,REPUBLICANOS,TEREZINHA,PE,0.0
ARNALDO DE OLIVEIRA FILHO,PSB,CAEM,BA,0.0
ARNALDO FERREIRA ROCHA,REPUBLICANOS,RONDON DO PARÁ,PA,0.0
ARNALDO GONTIJO DE FREITAS,REPUBLICANOS,FORMIGA,MG,0.0
ARNALDO LEMOS FIGUEIREDO,REPUBLICANOS,COQUEIRAL,MG,0.0
RUBENS FRANCISCO LOPES,UNIÃO,VILA BOA,GO,0.0
ARNALDO PEREIRA RAMOS,PDT,NOVO JARDIM,TO,0.0
RUBENS DE SOUSA TEIXEIRA,MDB,MOJU,PA,0.0
RUBENS DA PAIXÃO PEREIRA AMARAL,PDT,MONTE DO CARMO,TO,0.0
ARNOLDO REIS PEREIRA PONTES,PDT,BURITICUPU,MA,0.0
ARTHUR HUMBERTO RODRIGUES DE PAULA,PL,IACIARA,GO,0.0
ARNOR CICERO BATISTA,REDE,CUITEGI,PB,0.0
AROLDO GONÇALVES DOS SANTOS,PSOL,SABÁUDIA,PR,0.0
AROLDO INACIO DE SOUSA,MDB,JOSELÂNDIA,MA,0.0
RUBEN DE LIMA BARBOSA,PSB,PANELAS,PE,0.0
ARTEMES SILVA DE OLIVEIRA,MDB,IPIXUNA DO PARÁ,PA,0.0
ARTHUR BARBOSA DOS SANTOS,UNIÃO,ARACI,BA,0.0
RUBEM CESAR AMARAL DE MORAIS,PSB,BANANAL,SP,0.0
ARTHUR COSTA LEITE,MDB,MARIA DA FÉ,MG,0.0
ROSIANE ALVES GOMES,REDE,ARAPONGA,MG,0.0
ROSENILDO QUEIROZ DA SILVA,DC,TEFÉ,AM,0.0
RONNAN STEFANNE ARAÚJO RIBEIRO,REDE,SANTO HIPÓLITO,MG,0.0
AUGUSTO PROCHNOW,MDB,DONA FRANCISCA,RS,0.0
AURÉLIO PEREIRA DE SOUSA,PL,PIO XII,MA,0.0
AUSTERLIANO EVALDO ARAUJO,MDB,GADO BRAVO,PB,0.0
ROSANE MAGALY MARTINS,PSOL,BLUMENAU,SC,0.0
ROSANE DE FREITAS MADRUGA MOREIRA,PP,CAPÃO ALTO,SC,0.0
ROSANA VARGAS PEREIRA SCHLICHTA,PSB,PORTO BELO,SC,0.0
ROSANA RODRIGUES DE SIQUEIRA MENDONÇA,PSD,BRAZABRANTES,GO,0.0
ROSANA PEREIRA DA SILVA,PP,SENADOR GUIOMARD,AC,0.0
ROSANA FERREIRA LOPES,REPUBLICANOS,BOM SUCESSO,PR,0.0
AUSTRICLIANO HENRIQUE PEREIRA,PCO,CABEDELO,PB,0.0
ROSANA DE OLIVEIRA VALLE,PL,SANTOS,SP,0.0
ROSANA APARECIDA CARUSO,PT,SÃO VICENTE,SP,0.0
ROSAMARCIA HETKOWSKI ROMAN,MDB,VARGEM BONITA,SC,0.0
AVANY DOS SANTOS ALECRIM,UNIÃO,MATEIROS,TO,0.0
ROSA PEDROZA CARVALHO DE OLIVEIRA CICERO,PSDB,IRAPURU,SP,0.0
AVELAR DE SOUSA LOPES,MDB,SIMPLÍCIO MENDES,PI,0.0
ROQUE HERBET NOVAES SILVA,PSD,MUCUGÊ,BA,0.0
RONYWERTON MARCELO ALVES PEREIRA,REPUBLICANOS,IPUÃ,SP,0.0
AVERALDO MOREIRA MARTINS,PT,VIRGEM DA LAPA,MG,0.0
AYESO GASTON SIVIERO,PP,DOM ELISEU,PA,0.0
ROSANGELA LOPES FERREIRA SIQUEIRA,PP,BODOQUENA,MS,0.0
ROSANGELA MACHADO GUSMÃO,UNIÃO,BARRA DO QUARAÍ,RS,0.0
AURO JOSÉ PEREIRA,PSDB,LAGAMAR,MG,0.0
AURELIO FAGUNDES DE SOUZA,PSD,BONINAL,BA,0.0
ROSEMEIRE PACHECO VICENTE LIMA,PL,ALTO HORIZONTE,GO,0.0
ROSEMBERG PROCOPE VIEIRA DE SOUZA,MDB,RESERVA DO CABAÇAL,MT,0.0
ROSEMBERG GOMES KIFFER,MDB,MIGUEL PEREIRA,RJ,0.0
ROSEMARI IVANE STRACK CANDIDO,PP,SÃO BENTO DO SUL,SC,0.0
ROSEMAR HENTGES,PP,IBIRAPUITÃ,RS,0.0
ROSEMAR DE PAULA,PSDB,CÓRREGO DO OURO,GO,0.0
AUREA NINA SILVA,PT,ALENQUER,PA,0.0
AURELIANO JUNIOR DE QUEIROZ,MOBILIZA,FAINA,GO,0.0
ROSELI FÁTIMA DUARTE RUIPERES,MDB,DIAMANTE DO NORTE,PR,0.0
ROSANGELA MARIA DANTAS,PDT,INCONFIDENTES,MG,0.0
ROSELI APARECIDA DECKEN,PSD,CAFELÂNDIA,PR,0.0
ROSELI ANDERLE,PT,ANGELINA,SC,0.0
AURELIO GONÇALVES DOS SANTOS FILHO,PL,SONORA,MS,0.0
ROSELAINE BARROSO FERREIRA,PL,PARANAGUÁ,PR,0.0
AUREO BEZERRA GOMES,PT,PRIMAVERA,PA,0.0
ROSANIA MARIA TEIXEIRA FERREIRA,UNIÃO,SERRINHA DOS PINTOS,RN,0.0
AURI ARNALDO BITENCOURT DA ROSA,PSOL,BIGUAÇU,SC,0.0
AURINO OLIVEIRA MACHADO FILHO,MDB,CABACEIRAS DO PARAGUAÇU,BA,0.0
SEBASTIÃO MENDES PINTO NETO,PSDB,ALAGOA,MG,0.0
SEBASTIÃO MOREIRA CARVALHO,PSB,MASCOTE,BA,0.0
SEBASTIÃO NOGUEIRA DE ANDRADE,PP,PORTO WALTER,AC,0.0
SÉRGIO LOPES DE SOUZA,PL,EPITACIOLÂNDIA,AC,0.0
ANDRÉA DE FÁTIMA MACHADO ADJUTO,PRD,UNAÍ,MG,0.0
TADEU DIAS DOS SANTOS,PT,CAMPO ALEGRE DE LOURDES,BA,0.0
TADEU BARBOSA DE OLIVEIRA,PSD,ARAÇUAÍ,MG,0.0
TACILLA MARIANA CARVALHO SILVA,REPUBLICANOS,IMPERATRIZ,MA,0.0
ANDRÉIA DE SANT ANNA PONCIANO PRATES,PSB,SERRANA,SP,0.0
TACIA DENYSE DE SIQUEIRA NOBRE,PP,OURO BRANCO,AL,0.0
ANELISE WIEMES,PL,SÃO MARTINHO,SC,0.0
SÚSLEY ALBUQUERQUE CERQUEIRA,MDB,NOVO JARDIM,TO,0.0
ANGELA JUCELYH SILVA DE PAIVA FAGUNDES,REPUBLICANOS,RIO DO FOGO,RN,0.0
SÔNIA MARIA COELHO MILAGRES,MDB,SENHORA DOS REMÉDIOS,MG,0.0
ANGELA MARIA TISEO CLETO,PSD,ALUMÍNIO,SP,0.0
SÔNIA CRISTINA JACON GABAU,PSD,SALMOURÃO,SP,0.0
SÔNIA APARECIDA GONÇALVES BELARMINO,REPUBLICANOS,BARRA BONITA,SP,0.0
ANGELICA DE OLIVEIRA BARRETO,REPUBLICANOS,MARCAÇÃO,PB,0.0
SÉRGIO ROMERO GLASER QUERALVARES,REPUBLICANOS,POMBOS,PE,0.0
ANGELINA AVELINA VASCONCELOS DOS SANTOS,SOLIDARIEDADE,TURIÚBA,SP,0.0
SÉRGIO RICARDO MAIA ISAIAS,PSOL,MORADA NOVA,CE,0.0
ANGELO ANTONIO BARBIERI,PP,NOVA BRÉSCIA,RS,0.0
SÉRGIO MOACIR JOB LIMA,PT,TRAMANDAÍ,RS,0.0
TAFAREL SCHONS,PL,PAPANDUVA,SC,0.0
ANDRÉ PEDRO VALENÇA DE MELO RAIMUNDO,PSDB,CACHOEIRINHA,PE,0.0
TAIRO BALARDIN,PP,CAMPESTRE DA SERRA,RS,0.0
TANIOS MATIAS LIMA,PP,ANAPURUS,MA,0.0
TARCISIO LIMA DE CERQUEIRA,MDB,OURIÇANGAS,BA,0.0
ANDRESA VITORINO GARCIA RIBEIRO,PL,ARARANGUÁ,SC,0.0
ANDRESSA CARVALHO FERREIRA,UNIÃO,MILAGRES DO MARANHÃO,MA,0.0
TARCISIO ALBERTO LOPES SOARES,PL,CAIÇARA,PB,0.0
ANDREY GIOVANNE RODRIGUES SODRE,MDB,LUÍS DOMINGUES,MA,0.0
TARCIO GABRIEL ALVES DE BRITO RAFAEL,REPUBLICANOS,AMPARO,PB,0.0
TANIRA RAMOS DOS SANTOS MARTINS,PL,HULHA NEGRA,RS,0.0
ANDRIGO BIASOTTO,MDB,SÃO MARCOS,RS,0.0
TANIA MARIA DA COSTA,MDB,SANTO AUGUSTO,RS,0.0
ANDRÉ LUIZ ROKOSKI,PL,VACARIA,RS,0.0
TAMARA PEREIRA ALBUQUERQUE,SOLIDARIEDADE,JAGUARUNA,SC,0.0
ANDRÉ GEORGE NERES DE FARIAS,MDB,EMBU-GUAÇU,SP,0.0
TALYSSON BARBOSA COSTA,PL,AREIA BRANCA,SE,0.0
TALITA DIAS DA COSTA,MDB,CORONEL EZEQUIEL,RN,0.0
ANDRÉ HENRIQUE ROGÉRIO,PL,PIRACAIA,SP,0.0
ANDRÉ LUCIO TORRES,PSD,SANTA MARIA DE ITABIRA,MG,0.0
ANDRÉ LUIS ALVES MEDEIROS,PSB,RIBEIRÃO DO LARGO,BA,0.0
ANDRÉ LUIZ BARROS DA SILVA,MDB,MARECHAL DEODORO,AL,0.0
SÉRGIO LUIZ VICTOR JÚNIOR,NOVO,TAUBATÉ,SP,0.0
SÉRGIO LEME JACK,MDB,GODOY MOREIRA,PR,0.0
ANDREIA TEIXEIRA NEVES GOMES,PDT,SÃO JOSÉ DO MANTIMENTO,MG,0.0
SÉRGIO FERREIRA,PSDB,BOM JESUS DOS PERDÕES,SP,0.0
ANT0NIO DONIZETE GASPARINO DE JESUS,UNIÃO,ITAGUAÍ,RJ,0.0
STELA BEATRIZ FARIAS LOPES,PT,ALVORADA,RS,0.0
ANTENOR GOMES DE LIMA,PT,GUARAPUAVA,PR,0.0
STEFANO ANDREY BRANDÃO GUIDA,PSB,GOVERNADOR NUNES FREIRE,MA,0.0
ANTENOR PINTO DE SOUZA NETO,PSD,AREIAS,SP,0.0
SOSTENES RUBANO NEVES PONTES,PSD,CAMOCIM DE SÃO FÉLIX,PE,0.0
SORIANO FRANCISCO EDINILSON RIBEIRO DA SILVA,REDE,GUAIÚBA,CE,0.0
SORAIA VIEIRA DE QUEIROZ,MDB,GUIDOVAL,MG,0.0
ANTENOR RIBEIRO DE FREITAS NETO,PL,BACURITUBA,MA,0.0
ANTONIMAR AMORIM CARLOS,UNIÃO,OLHO D'ÁGUA DO BORGES,RN,0.0
ANTONINO CARDOZO DE CARVALHO,PSB,PIAÇABUÇU,AL,0.0
SONIA MARIA DOS REIS GOMES,PDT,FEIRA NOVA DO MARANHÃO,MA,0.0
ANTONIO ADALBERTO TORRES ALMEIDA,AVANTE,IGARAPÉ-AÇU,PA,0.0
ANTONIO ADAMIR DIGNER,PL,CONTENDA,PR,0.0
SOLIMAR BATISTA DE MENEZES,PSDB,GLÓRIA D'OESTE,MT,0.0
SOLIMAR ALVES DE OLIVEIRA,MDB,MATÕES DO NORTE,MA,0.0
ANTONIO AGINALDO DE OLIVEIRA,PL,CAUCAIA,CE,0.0
ANTONIO ALAILSON OLIVEIRA SALDANHA,PT,BARREIRA,CE,0.0
ANTONIO ALVES DA COSTA,PL,FELIZ NATAL,MT,0.0
STELA MACLA FEITOSA DE MATOS RODRIGUES,PSD,CATARINA,CE,0.0
ANSELMO RAIMUNDO CORREA PICANÇO,PSD,MONTE ALEGRE,PA,0.0
ANNY IZABELLE TORRES MELO DE LINS SOUZA,PDT,RIO LARGO,AL,0.0
SUZANA ELISA MULLER KUHN,PL,TIO HUGO,RS,0.0
SÂMIA COELHO MOREIRA CARVALHO,PDT,SANTA QUITÉRIA DO MARANHÃO,MA,0.0
SÁVIO SOUZA OLIVEIRA,PP,AMÉRICA DOURADA,BA,0.0
ANGELO FABIAM DUARTE THOMAS,PDT,GIRUÁ,RS,0.0
ANGELO FRANCISCO SARMENTO,AVANTE,LAGOA DO MATO,MA,0.0
ANGELO MARCIO DE LIMA SOUSA,PP,BONITO,PA,0.0
SUZIE APARECIDA PUCILLO ZANATTA,PP,ASTORGA,PR,0.0
SUZE DEANE LIMA DE BRITO MATOS,UNIÃO,CAEM,BA,0.0
SUZANO LINO MARQUES,UNIÃO,APARECIDA DO RIO NEGRO,TO,0.0
ANGELO MARCIO GOMES DE MELO,PT,ITAMARANDIBA,MG,0.0
ANNANIAS MESQUITA DE ARAÚJO,PSB,ANAMÃ,AM,0.0
SUSANA ROHLFES ZIEGER,PRD,VALE DO SOL,RS,0.0
ANGELUS CRUZ FIGUEIRA,DC,MANACAPURU,AM,0.0
ANIZIO CESAR LINO SILVA,PSD,ROSÁRIO DO IVAÍ,PR,0.0
ANNA KARENYNNA CAMPOS FERNANDES LOPES,PDT,SÃO JOSÉ DE CAIANA,PB,0.0
SUELY LEITE CHAGAS,REPUBLICANOS,CEDRAL,MA,0.0
SUELEN NARA MATOS MATIVE,REPUBLICANOS,CAIABU,SP,0.0
SUANE MARIA BARROS DIAS,MDB,GONÇALVES DIAS,MA,0.0
STENIO DA SILVA SOUSA,PP,JANDAÍRA,RN,0.0
ANDRELINO MAXIMIANO DA COSTA FILHO,PP,SÃO FRANCISCO DE ASSIS DO PIAUÍ,PI,0.0
ANDREIA OLIVEIRA MEDEIROS DE SAMPAIO,PSD,UNIÃO DE MINAS,MG,0.0
SEBASTIÃO PEDRO NEPOMUCENO,PDT,PAIVA,MG,0.0
THAYZE GIZELLI CORDEIRO,REPUBLICANOS,TERRA RICA,PR,0.0
ANDERSON DE AZEVEDO VARGAS,PT,TABAÍ,RS,0.0
THIAGO GONÇALVES DOS SANTOS,PL,IGUAÍ,BA,0.0
ANDERSON DE LIMA PULHESE,MDB,DILERMANDO DE AGUIAR,RS,0.0
THIAGO GONÇALO LUNGUINHO DE ALMEIDA,UNIÃO,NOSSA SENHORA DO LIVRAMENTO,MT,0.0
ANDERSON FERREIRA,PSD,MACATUBA,SP,0.0
ANDERSON GERALDO DE PAULA,PSD,BARROSO,MG,0.0
ANDERSON JOSE MENDONÇA,PSD,SANTO ANTÔNIO DO PINHAL,SP,0.0
THIAGO DE MEDERIOS MOURA,MDB,CAPELA,AL,0.0
THIAGO DE CASTRO,MDB,PRADÓPOLIS,SP,0.0
ANDERSON JOSE PILAO,PL,ITAPUÍ,SP,0.0
ANDERSON JUNIOR MORAES,PT,NOVO MACHADO,RS,0.0
THIAGO CESAR BRITO VELOSO FREIRE,REPUBLICANOS,GURINHÉM,PB,0.0
ANDERSON JUNIOR TREVIZANOTO,PP,DOURADINA,PR,0.0
ANDERSON LOPES DA SILVA,AVANTE,NOVO AIRÃO,AM,0.0
THIAGO BUSCARIOLI COLARES,PT,JUQUITIBA,SP,0.0
ANDERSON LUZ DOS SANTOS,PP,INDAIAL,SC,0.0
ANDERSON PEREIRA DE ARAUJO,PT,EIRUNEPÉ,AM,0.0
ANDERSON PINHEIRO DE GOES,MDB,BOREBI,SP,0.0
THEODORICO DE ASSIS FERRAÇO,PP,CACHOEIRO DE ITAPEMIRIM,ES,0.0
ANDERSON CLAYTON DA SILVA BARROS,PP,PAQUETÁ,PI,0.0
THIAGO ITAMAR SANTOS VILLACA,AVANTE,ENTRE RIOS DE MINAS,MG,0.0
THIAGO JAYME RODRIGUES DE CERQUEIRA,PP,NATIVIDADE,TO,0.0
THIAGO OLIVEIRA DO VALE,PSD,IPIRÁ,BA,0.0
THIAGO SILVA ARAÚJO,PSB,ANAPURUS,MA,0.0
THIAGO SANCHES FLORES PINTO,UNIÃO,FLORESTA DO ARAGUAIA,PA,0.0
THIAGO REZENDE ARAGÃO,PSB,ALTO ALEGRE DO MARANHÃO,MA,0.0
ANA THAMIRES BRANCO DE OLIVEIRA,PODE,TIMBIRAS,MA,0.0
ANA VIRGÍNIA DE MOURA BEZERRA CAVALCANTI,MDB,BANANEIRAS,PB,0.0
ANACLETO CAMPANELLA JUNIOR,PL,SÃO CAETANO DO SUL,SP,0.0
THIAGO PEREIRA DABÉS,NOVO,JAPERI,RJ,0.0
ANALÚ ARAÚJO DIAS,PP,SUMIDOURO,RJ,0.0
ANAMARIA BURLE ORLANDINE ANDRADE,NOVO,PIRAPORA,MG,0.0
THIAGO LOPES PESSOTTI,PP,DORES DO RIO PRETO,ES,0.0
THIAGO MOREIRA DE SANTANA,PSD,PORTO DA FOLHA,SE,0.0
THIAGO MEIRA MANGUEIRA,REPUBLICANOS,CARNAUBAIS,RN,0.0
THIAGO MEDEIROS PINTO,AVANTE,MANDAGUAÇU,PR,0.0
THIAGO MARÇAL FERREIRA BORGES,UNIÃO,EDÉIA,GO,0.0
THIAGO MARTINS RODRIGUES,PL,UNAÍ,MG,0.0
ANDERSON CAMPOREZ,UNIÃO,TAILÂNDIA,PA,0.0
THIAGO LUCENA NUNES,PSDB,AGRESTINA,PE,0.0
THIAGO LUAN BESSA MARTINS,PSOL,ANANINDEUA,PA,0.0
ANDERSON SCARDUELI,PL,MELEIRO,SC,0.0
THAYMARA DA SILVA AMORIM MUNIZ,PL,NOVA OLINDA DO MARANHÃO,MA,0.0
ANDREI MENDES DE ANDRADES,PC do B,CANELA,RS,0.0
THAYANE DE SOUZA SANTOS,PT,NOSSA SENHORA DAS DORES,SE,0.0
ANDRE LUIZ MORON,MDB,PARANACITY,PR,0.0
ANDRE LUIZ RAMALHO CECILIANO,PT,PARACAMBI,RJ,0.0
TELCIO GRANEMANN FRITZ,PL,CANTAGALO,PR,0.0
ANDRE NEVES CARVALHO,PSOL,GENERAL SALGADO,SP,0.0
TED FERREIRA FRANCO,UNIÃO,ITAIPÉ,MG,0.0
TECIO NUNES SALGADO,PSOL,FORTALEZA,CE,0.0
ANDRE NOGUEIRA SANCHES,UNIÃO,CANANÉIA,SP,0.0
ANDRE NUNES VIANA,PL,PAUDALHO,PE,0.0
ANDRE ROTA SENA,PSOL,SANTA VITÓRIA DO PALMAR,RS,0.0
ANDRE SIGNOR,PP,BARRA FUNDA,RS,0.0
ANDRE VECHI,PL,BRUSQUE,SC,0.0
ANDRE VIANINI,PL,ARROIO DO MEIO,RS,0.0
ANDREA APARECIDA DE JESUS RAMOS MOTA,PRD,PIRANGUINHO,MG,0.0
ANDREA APARECIDA OTONE DE SOUZA,PSD,SÃO SEBASTIÃO DO RIO PRETO,MG,0.0
TATIANA ESTEVAM DA SILVA,PL,REDUTO,MG,0.0
TARCÍSIO TORRES PEDREIRA,UNIÃO,SÃO GONÇALO DOS CAMPOS,BA,0.0
TARCÍSIO KUMMER,PT,ITAPIRANGA,SC,0.0
TARCÍSIO JOÃO ZIMMERMANN,PDT,NOVO HAMBURGO,RS,0.0
ANDREA OLIVEIRA SILVA,PT,ANAGÉ,BA,0.0
ANDRE LUIZ MARTINS EPIFANIO,PL,URUGUAIANA,RS,0.0
ANDRE LUIZ MACHADO ALVES,PSOL,SAPUCAIA DO SUL,RS,0.0
TERCIO DIAS MELQUIADES NETO,REPUBLICANOS,LAJEADO,TO,0.0
TEÓFILO JOSÉ BARROSO PEREIRA,PP,CRAÍBAS,AL,0.0
THATIANNE PINTO MACEDO LIMA,PP,PALMEIRINA,PE,0.0
ANDRE ANDERSON ROSSATO,PL,ANDIRÁ,PR,0.0
THALLYSSON PAULA FORTES,REPUBLICANOS,CAPUTIRA,MG,0.0
ANDRE CARVALHO DE MOURA,PDT,VITÓRIA DE SANTO ANTÃO,PE,0.0
THALLES ANDRADE COSTA,UNIÃO,MOITA BONITA,SE,0.0
ANDRE EMILIO DE SOUZA FRANZINOLLI,MDB,SANTANA DO DESERTO,MG,0.0
ANDRE FURLAN MEIRINHO,PP,BALNEÁRIO CAMBORIÚ,SC,0.0
ANDRE LUIS ANCHAO BRAGA,PL,PORTO FERREIRA,SP,0.0
TEREZINHA SILVERIO DE MELO,MDB,VARJÃO DE MINAS,MG,0.0
ANDRE LUIZ LEMOS DA SILVA,PSD,SÃO JOSÉ DA BARRA,MG,0.0
TEREZINHA MARCÍLIA DO AMARAL TOLEDO,PSDB,ARACITABA,MG,0.0
TEREZINHA FUMIKO YAMAKAWA,UNIÃO,AMAPORÃ,PR,0.0
TEREZINHA DOS SANTOS MOREIRA,PL,FEIJÓ,AC,0.0
ANDRE LUIS BARCELLOS BRITO,PDT,TAQUARI,RS,0.0
ANDRE LUIS COSTA DE CASTRO,PP,CANTÁ,RR,0.0
ANDRE LUIZ FERREIRA DE LACERDA,PL,SILVA JARDIM,RJ,0.0
TEREZA DE FATIMA BARBOSA CEDRIM,REPUBLICANOS,OLHO D'ÁGUA GRANDE,AL,0.0
TERESINHA LOPES PEREIRA PENTEADO PEDROSO,PSB,SANTA ISABEL,SP,0.0
ANTONIO ALVES GARCIA,PL,PALESTINA,SP,0.0
SOLANGE DE ARAÚJO SOUSA,PL,SANTA INÊS,MA,0.0
SOLANGE BATISTA DE ALMEIDA OLIVEIRA,PSD,NOVA PORTEIRINHA,MG,0.0
ANTONIO JOSÉ SOARES DO NASCIMENTO,MDB,EPITACIOLÂNDIA,AC,0.0
ANTONIO GREGÓRIO DE OLIVEIRA BARBOSA,PSD,SÃO FELIPE,BA,0.0
ANTONIO GUILHERME DOS SANTOS,MDB,CAMACÃ,BA,0.0
SERGIO SANAGIOTTO,PSB,NOVO HORIZONTE,SC,0.0
SERGIO RODRIGO RUIZ GUIMARÃES,PL,CIANORTE,PR,0.0
ANTONIO HENRIQUE CAMARA BEZERRA,PSD,CEARÁ-MIRIM,RN,0.0
SERGIO RIBEIRO SILVA,PT,CARAPICUÍBA,SP,0.0
SERGIO PROCOPIO DA SILVA CARVALHO,MDB,TORITAMA,PE,0.0
ANTONIO HÉLIO NICOLAI,PSD,ITAPIRA,SP,0.0
