NM_CANDIDATO,Partido,NM_UE,Estado,total
JEFERSON DOUGLAS SOARES ESTANISLAU,PSD,SETE LAGOAS,MG,394998.3
DIONE JOSE DE ARAUJO,UNIÃO,ITUMBIARA,GO,390937.8
RILDO DE OLIVEIRA AMARAL,PP,IMPERATRIZ,MA,388288.0
DANILO HENRIQUE SAMPAIO MOREIRA,PP,BARREIRAS,BA,385800.0
PAULO CELSO FONSECA MARINHO JUNIOR,PL,CAXIAS,MA,385196.75
CELSO CAVALCANTE DE CARVALHO NETO,PSD,JUAZEIRO,BA,383272.52
CARLOS ALBERTO DIAS VIANA,PODE,BELO HORIZONTE,MG,381298.12
GUSTAVO DIOGO FINCK,PP,NOVO HAMBURGO,RS,381055.8
FELIPE DEZOTTI BELOTO,PL,ARARAS,SP,379389.97
HELIO LEITE DA SILVA,UNIÃO,CASTANHAL,PA,374429.05
SERGIO LUIZ MARCON,PSDB,SÃO GABRIEL DO OESTE,MS,372070.32
CAMILA COSTA VALADÃO,PSOL,VITÓRIA,ES,371540.69
ALEXANDRE VALLE CARDOSO,PL,ITAGUAÍ,RJ,371011.33
CARMEN EMILIA BONFÁ ZANOTTO,CIDADANIA,LAGES,SC,365400.0
ALTINO DE MELO PRAZERES JUNIOR,PSTU,SÃO PAULO,SP,365353.6
JANIO PACHECO,UNIÃO,IPAMERI,GO,364595.01
DOMINGOS ERINALDO SOUSA SERRA,PC do B,PEDRO DO ROSÁRIO,MA,364392.3
ANA LÚCIA DE SOUSA E SILVA,PSDB,LUZIÂNIA,GO,364119.5
PAULO JOSE RIBEIRO DA SILVA,PT,TAUBATÉ,SP,362753.0
VANESSA PINTO BRASILEIRO LOPES,UNIÃO,ASSÚ,RN,359157.31
GILMAR DIAS SPEREIRA,PP,ITU,SP,359123.1
JOSE GENTIL ROSA NETO,PP,CAXIAS,MA,357019.45
WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,PP,CAMPOS DOS GOYTACAZES,RJ,355508.0
BRUNO BARROS GONÇALVES,PRD,AQUIRAZ,CE,355414.0
ANTONIO DIRCEU DALBEN,CIDADANIA,PAULÍNIA,SP,353552.8
ANGELA MARIA MALUF,PSD,COTIA,SP,350694.19
